mouse_id	experiment	sex	diet	CFUs.g_tissueSpleen	CFUs.g_tissueLiver	CFUs.mL_blood	presence_spleen	presence_liver	presence_blood	sac_exptDay
CDD03.CR.Chow.3	CDD03	Female	Chow	0	0	800	F	F	T	18
CDD03.CR.LFHF.3	CDD03	Female	LFHF	0	0	0	F	F	F	18
CDD03.CR.LFHF.5	CDD03	Female	LFHF	0	0	0	F	F	F	18
CDD03.CR.LFLF.3	CDD03	Female	LFLF	0	33.60215054	0	F	T	F	19
CDD03.CR.Chow.1	CDD03	Female	Chow	TNTC	TNTC	0	T	T	F	20
CDD03.CR.LFLF.4	CDD03	Female	LFLF	0	0	0	F	F	F	20
CDD03.CR.LFHF.2	CDD03	Female	LFHF	0	TNTC	0	F	T	F	20
CDD03.Tc.LFLF.5	CDD03	Female	LFLF	0	0	0	F	F	F	20
CDD03.CR.HFLF.4	CDD03	Female	HFLF	51736.11111	12076.70339	13800	T	T	T	21
CDD03.CR.HFLF.3	CDD03	Female	HFLF	2284.263959	89.41344778	0	T	T	F	21
CDD03.CR.LFLF.5	CDD03	Female	LFLF	1056.338028	925.9259259	200	T	T	T	21
CDD03.CR.LFLF.1	CDD03	Female	LFLF	0	TNTC	0	F	T	F	21
CDD03.Tc.LFLF.1	CDD03	Female	LFLF	0	46.83840749	0	F	T	F	21
CDD03.Tc.LFLF.3	CDD03	Female	LFLF	0	47.3335437	0	F	T	F	21
CDD03.CR.LFLF.2	CDD03	Female	LFLF	814.3322476	0	42300	T	F	T	21
CDD03.CR.HFLF.5	CDD03	Female	HFLF	0	0	0	F	F	F	21
CDD03.CR.HFLF.2	CDD03	Female	HFLF	0	0	500	F	F	T	22
CDD03.Tc.HFLF.2	CDD03	Female	HFLF	0	0	TNTC	F	F	T	22
CDD03.CR.HFLF.1	CDD03	Female	HFLF	NA	NA	NA	NA	NA	NA	21
CDD03.Tc.Chow.4	CDD03	Female	Chow	TNTC	3865.740741	0	T	T	F	29
CDD03.Tc.Chow.2	CDD03	Female	Chow	0	0	0	F	F	F	29
CDD03.Tc.HFLF.1	CDD03	Female	HFLF	0	0	0	F	F	F	29
CDD03.Tc.LFLF.2	CDD03	Female	LFLF	15871.36929	0	800	T	F	T	29
CDD03.Tc.LFLF.4	CDD03	Female	LFLF	0	0	0	F	F	F	29
CDD03.Tc.HFLF.4	CDD03	Female	HFLF	0	0	0	F	F	F	29
CDD03.Tc.HFHF.5	CDD03	Female	HFHF	0	0	0	F	F	F	29
CDD03.Tc.HFHF.3	CDD03	Female	HFHF	0	0	0	F	F	F	29
