vendor	mouse_id	experiment	mouse_sex	diet	sac_exptDay	survival	day_post_inf
charles_river	CDD01.CR.Chow.1	CDD01	Male	Chow	30	0	15
charles_river	CDD01.CR.Chow.2	CDD01	Male	Chow	30	0	15
charles_river	CDD01.CR.LFLF.1	CDD01	Male	LF/LF	21	1	6
charles_river	CDD01.CR.LFLF.2	CDD01	Male	LF/LF	21	1	6
charles_river	CDD01.CR.LFLF.3	CDD01	Male	LF/LF	21	1	6
charles_river	CDD02.CR.Chow.1	CDD02	Female	Chow	30	0	15
charles_river	CDD02.CR.Chow.2	CDD02	Female	Chow	30	0	15
charles_river	CDD02.CR.Chow.3	CDD02	Female	Chow	18	1	3
charles_river	CDD02.CR.Chow.4	CDD02	Female	Chow	30	0	15
charles_river	CDD02.CR.Chow.5	CDD02	Female	Chow	30	0	15
charles_river	CDD02.CR.HFHF.1	CDD02	Female	HF/HF	20	1	5
charles_river	CDD02.CR.HFHF.2	CDD02	Female	HF/HF	20	1	5
charles_river	CDD02.CR.HFHF.3	CDD02	Female	HF/HF	30	0	15
charles_river	CDD02.CR.HFHF.4	CDD02	Female	HF/HF	20	1	5
charles_river	CDD02.CR.HFHF.5	CDD02	Female	HF/HF	30	0	15
charles_river	CDD02.CR.HFLF.1	CDD02	Female	HF/LF	22	1	7
charles_river	CDD02.CR.HFLF.2	CDD02	Female	HF/LF	30	0	15
charles_river	CDD02.CR.HFLF.3	CDD02	Female	HF/LF	30	0	15
charles_river	CDD02.CR.HFLF.4	CDD02	Female	HF/LF	23	1	8
charles_river	CDD02.CR.HFLF.5	CDD02	Female	HF/LF	23	1	8
charles_river	CDD02.CR.LFHF.1	CDD02	Female	LF/HF	30	0	15
charles_river	CDD02.CR.LFHF.2	CDD02	Female	LF/HF	20	1	5
charles_river	CDD02.CR.LFHF.3	CDD02	Female	LF/HF	30	0	15
charles_river	CDD02.CR.LFHF.4	CDD02	Female	LF/HF	30	0	15
charles_river	CDD02.CR.LFHF.5	CDD02	Female	LF/HF	30	0	15
charles_river	CDD02.CR.LFLF.1	CDD02	Female	LF/LF	21	1	6
charles_river	CDD02.CR.LFLF.2	CDD02	Female	LF/LF	20	1	5
charles_river	CDD02.CR.LFLF.3	CDD02	Female	LF/LF	22	1	7
charles_river	CDD02.CR.LFLF.4	CDD02	Female	LF/LF	21	1	6
charles_river	CDD02.CR.LFLF.5	CDD02	Female	LF/LF	20	1	5
charles_river	CDD03.CR.Chow.1	CDD03	Female	Chow	20	1	5
charles_river	CDD03.CR.Chow.2	CDD03	Female	Chow	30	0	15
charles_river	CDD03.CR.Chow.3	CDD03	Female	Chow	18	1	3
charles_river	CDD03.CR.Chow.4	CDD03	Female	Chow	29	1	14
charles_river	CDD03.CR.Chow.5	CDD03	Female	Chow	29	1	14
charles_river	CDD03.CR.HFHF.1	CDD03	Female	HF/HF	29	1	14
charles_river	CDD03.CR.HFHF.2	CDD03	Female	HF/HF	30	0	15
charles_river	CDD03.CR.HFHF.3	CDD03	Female	HF/HF	29	1	14
charles_river	CDD03.CR.HFHF.4	CDD03	Female	HF/HF	30	0	15
charles_river	CDD03.CR.HFHF.5	CDD03	Female	HF/HF	30	0	15
charles_river	CDD03.CR.HFLF.1	CDD03	Female	HF/LF	21	1	6
charles_river	CDD03.CR.HFLF.2	CDD03	Female	HF/LF	22	1	7
charles_river	CDD03.CR.HFLF.3	CDD03	Female	HF/LF	21	1	6
charles_river	CDD03.CR.HFLF.4	CDD03	Female	HF/LF	21	1	6
charles_river	CDD03.CR.HFLF.5	CDD03	Female	HF/LF	21	1	6
charles_river	CDD03.CR.LFHF.1	CDD03	Female	LF/HF	29	1	14
charles_river	CDD03.CR.LFHF.2	CDD03	Female	LF/HF	20	1	5
charles_river	CDD03.CR.LFHF.3	CDD03	Female	LF/HF	18	1	3
charles_river	CDD03.CR.LFHF.4	CDD03	Female	LF/HF	29	1	14
charles_river	CDD03.CR.LFHF.5	CDD03	Female	LF/HF	18	1	3
charles_river	CDD03.CR.LFLF.1	CDD03	Female	LF/LF	21	1	6
charles_river	CDD03.CR.LFLF.2	CDD03	Female	LF/LF	21	1	6
charles_river	CDD03.CR.LFLF.3	CDD03	Female	LF/LF	19	1	4
charles_river	CDD03.CR.LFLF.4	CDD03	Female	LF/LF	20	1	5
charles_river	CDD03.CR.LFLF.5	CDD03	Female	LF/LF	21	1	6
taconic	CDD01.Tc.Chow.1	CDD01	Male	Chow	30	0	15
taconic	CDD01.Tc.Chow.2	CDD01	Male	Chow	30	0	15
taconic	CDD01.Tc.LFLF.1	CDD01	Male	LF/LF	21	1	6
taconic	CDD01.Tc.LFLF.2	CDD01	Male	LF/LF	21	1	6
taconic	CDD01.Tc.LFLF.3	CDD01	Male	LF/LF	30	0	15
taconic	CDD02.Tc.Chow.1	CDD02	Female	Chow	18	1	3
taconic	CDD02.Tc.Chow.2	CDD02	Female	Chow	18	1	3
taconic	CDD02.Tc.Chow.3	CDD02	Female	Chow	17	1	2
taconic	CDD02.Tc.Chow.4	CDD02	Female	Chow	18	1	3
taconic	CDD02.Tc.Chow.5	CDD02	Female	Chow	30	0	15
taconic	CDD02.Tc.HFHF.2	CDD02	Female	HF/HF	30	0	15
taconic	CDD02.Tc.HFHF.3	CDD02	Female	HF/HF	20	1	5
taconic	CDD02.Tc.HFHF.4	CDD02	Female	HF/HF	30	0	15
taconic	CDD02.Tc.HFHF.5	CDD02	Female	HF/HF	30	0	15
taconic	CDD02.Tc.HFLF.1	CDD03	Female	HF/LF	21	1	6
taconic	CDD02.Tc.HFLF.2	CDD02	Female	HF/LF	21	1	6
taconic	CDD02.Tc.HFLF.3	CDD02	Female	HF/LF	30	0	15
