#SampleID	study	mouse_sex	diet	vendor	experiment	experiment_day	mouse_id	experiment_set	day_post_inf	sample_type	high_fat	high_fiber	purified_diet
CDD02.Tc.HFLF.3.00	2	Female	HF/LF	taconic	CDD02	0	CDD02.Tc.HFLF.3	new_exp_anschutz	-15	colon	1	0	1
CDD02.Tc.LFLF.4.00	2	Female	LF/LF	taconic	CDD02	0	CDD02.Tc.LFLF.4	new_exp_anschutz	-15	colon	0	0	1
CDD02.Tc.Chow.4.00	2	Female	Chow	taconic	CDD02	0	CDD02.Tc.Chow.4	new_exp_anschutz	-15	colon	0	0	0
CDD02.Tc.Chow.2.00	2	Female	Chow	taconic	CDD02	0	CDD02.Tc.Chow.2	new_exp_anschutz	-15	colon	0	0	0
CDD02.Tc.Chow.1.00	2	Female	Chow	taconic	CDD02	0	CDD02.Tc.Chow.1	new_exp_anschutz	-15	colon	0	0	0
CDD02.CR.LFLF.5.00	2	Female	LF/LF	charles_river	CDD02	0	CDD02.CR.LFLF.5	new_exp_anschutz	-15	colon	0	0	1
CDD02.CR.Chow.1.00	2	Female	Chow	charles_river	CDD02	0	CDD02.CR.Chow.1	new_exp_anschutz	-15	colon	0	0	0
CDD02.CR.LFLF.1.00	2	Female	LF/LF	charles_river	CDD02	0	CDD02.CR.LFLF.1	new_exp_anschutz	-15	colon	0	0	1
CDD02.CR.Chow.4.00	2	Female	Chow	charles_river	CDD02	0	CDD02.CR.Chow.4	new_exp_anschutz	-15	colon	0	0	0
CDD02.CR.Chow.3.00	2	Female	Chow	charles_river	CDD02	0	CDD02.CR.Chow.3	new_exp_anschutz	-15	colon	0	0	0
CDD02.CR.Chow.5.00	2	Female	Chow	charles_river	CDD02	0	CDD02.CR.Chow.5	new_exp_anschutz	-15	colon	0	0	0
CDD02.Tc.HFHF.5.00	2	Female	HF/HF	taconic	CDD02	0	CDD02.Tc.HFHF.5	new_exp_anschutz	-15	colon	1	1	1
CDD02.CR.LFLF.2.00	2	Female	LF/LF	charles_river	CDD02	0	CDD02.CR.LFLF.2	new_exp_anschutz	-15	colon	0	0	1
