diet	tissue	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	y.position	groups	xmin	xmax
Chow	cecum	score	barrier_1	barrier_2	4	17	1.7590732008430472	0.078565076104364015	0.078565076104364015	ns	4.9		1	2
HF/HF	cecum	score	barrier_1	barrier_2	7	6	0.9999999999999998	0.3173105078629143	0.3173105078629143	ns	6.6		1	2
HF/LF	cecum	score	barrier_1	barrier_2	6	19	-0.5116916043003938	0.6088668629246614	0.6088668629246614	ns	6.4		1	2
LF/HF	cecum	score	barrier_1	barrier_2	6	9	0	1	1	ns	5.1		1	2
LF/LF	cecum	score	barrier_1	barrier_2	5	17	-0.07850136932560065	0.9374292410216419	0.9374292410216419	ns	6.1		1	2
Chow	colon	score	barrier_1	barrier_2	4	17	0.9436406205478756	0.34535332716384903	0.34535332716384903	ns	4.1		1	2
HF/HF	colon	score	barrier_1	barrier_2	7	6	1.1428571428571435	0.25309790894711526	0.25309790894711526	ns	11.4		1	2
HF/LF	colon	score	barrier_1	barrier_2	6	19	-1.0510347275085195	0.29324264042581905	0.29324264042581905	ns	7.9		1	2
LF/HF	colon	score	barrier_1	barrier_2	6	9	-2.4748737341529163	0.013328328780817557	0.013328328780817557	*	16.8		1	2
LF/LF	colon	score	barrier_1	barrier_2	5	17	0.039407374645750975	0.9685656003611327	0.9685656003611327	ns	10.7		1	2
