ko	day_post_inf	term	estimate	std.error	statistic	p.value	p.value.adj
K00929	-15	(Intercept)	11046.40069793382	1131.283568422267	9.76448434881766	1.2401392245689942e-20	7.440835347413965e-20
K00929	-15	purified_diet	-11046.400697933816	1225.0268153707516	-9.01727256851161	4.877265667325571e-18	1.4631797001976712e-17
K00929	-15	seq_depth	-0.16211703313518308	0.02618419972587715	-6.191406834365349	1.2991868722181097e-9	2.5983737444362194e-9
K00929	-15	purified_diet:seq_depth	0.16211703313518303	0.028774648501983892	5.634023057623301	3.033542467856647e-8	4.55031370178497e-8
K00929	-3	purified_diet	13490.74965571378	3316.2133671467363	4.068118713157832	5.5560437803220336e-5	3.33362626819322e-4
K00929	-3	purified_diet:seq_depth	-0.27888940311994953	0.07789451855251697	-3.5803469653891056	3.787622228222227e-4	0.0011362866684666681
K00929	-8	purified_diet:seq_depth	0.20742371064024878	0.07272125150624124	2.8523121693312277	0.004531135037574967	0.027186810225449803
K00929	0	purified_diet	16357.228303993617	6095.220365310881	2.683615574768367	0.007539516295819754	0.04523709777491852
K00929	3	high_fiber	-2429.096583270786	844.8056589783191	-2.875331808511389	0.004218867727986804	0.025313206367920824
K01034	-15	(Intercept)	1402.3376146254839	174.45050897972993	8.038598584934062	9.134609168754527e-15	5.480765501252716e-14
K01034	-15	purified_diet	-1402.3376146254832	190.66547836225968	-7.35496339804669	9.953611766796312e-13	2.9860835300388936e-12
K01034	-15	seq_depth	-0.01715563866700663	0.004016966069535946	-4.270795015450183	2.406200046272986e-5	4.812400092545972e-5
K01034	-15	purified_diet:seq_depth	0.01715563866700663	0.0044763325497179035	3.832521037358534	1.460422031475379e-4	2.1906330472130684e-4
K01034	-3	purified_diet	728.5190981992376	281.9590212052372	2.5837765186060517	0.010106125421732925	0.030318376265198774
K01034	-3	purified_diet:seq_depth	-0.01776137255046086	0.006619668936133078	-2.6831209720340303	0.00757919470626364	0.030318376265198774
K01034	-8	(Intercept)	1523.5286515610096	679.6062952475455	2.241781252197004	0.025491990391184587	0.044447372149979736
K01034	-8	high_fat	597.6897871037111	273.8739596108059	2.182353473667486	0.02963158143331982	0.044447372149979736
K01034	-8	high_fiber	-1303.9246527416735	288.8203783394796	-4.5146559956688375	8.228575130424427e-6	4.937145078254656e-5
K01034	-8	purified_diet:seq_depth	0.04258448381562748	0.017438434534824212	2.441990061125447	0.015014221888116665	0.044447372149979736
K01034	0	high_fiber	580.044788176846	204.45798143507494	2.8369877473383824	0.004772525235633019	0.014317575706899056
K01034	0	purified_diet	1624.7006368375796	525.8155868711383	3.0898677738051634	0.002134323677879502	0.012805942067277013
K01034	3	high_fiber	-159.7881470515987	66.32708770471268	-2.4090933671469705	0.016417642089294558	0.09850585253576735
