day_post_inf.y	term	estimate	std.error	statistic	p.value	signif
-8	purified_diet.y	-0.1524396487421485	0.058158823212218075	-2.6210923867201594	0.00892757607958814	**
-8	seq_depth.y	-1.2564685566286016e-6	1.3102499631189089e-6	-0.9589533234083927	0.33786560623923356	ns
-8	high_fat.y	0.02621249472463116	0.014343771459130537	1.827447878636241	0.0679966319853229	+
-8	high_fiber.y	0.08426184114228223	0.015603086093313472	5.400331744525316	8.724019963188069e-8	****
-8	purified_diet.y:seq_depth.y	2.6741861023677414e-6	1.4484754734878408e-6	1.8462073754887018	0.06522321144487825	+
-8	high_fat.y:high_fiber.y	-0.06494066037268835	0.0218845523259061	-2.967420096403529	0.0030906313115042715	**
-3	purified_diet.y	0.042101037797073804	0.04212999588320145	0.9993126492058548	0.31789665699691766	ns
-3	seq_depth.y	-7.98752717373397e-7	9.002614730447179e-7	-0.8872452518399854	0.37517049190351626	ns
-3	high_fat.y	0.052185245308247835	0.011764388756221473	4.435865423152581	1.0237758762136325e-5	****
-3	high_fiber.y	-0.093616944110843	0.01737119581117803	-5.38920550596766	8.920048700765276e-8	****
-3	purified_diet.y:seq_depth.y	1.1051343956438771e-6	9.308735933997634e-7	1.1872013595397775	0.23544372923527612	ns
-3	high_fat.y:high_fiber.y	-0.04781283922601628	0.01899970648760179	-2.5165040974299484	0.012015632401735058	*
0	purified_diet.y	0.0793965967554589	0.04299233745335738	1.8467615733058642	0.06508963240650636	+
0	seq_depth.y	-9.006035386486636e-7	8.693276000642794e-7	-1.0359771604882575	0.3004739504266657	ns
0	high_fat.y	0.080022029086953	0.015140325178090757	5.285357358291827	1.5535360135467383e-7	****
0	high_fiber.y	-0.10583448594186953	0.01598653715693911	-6.620225812688338	5.961311468768415e-11	****
0	purified_diet.y:seq_depth.y	6.73364555464967e-7	9.508643101183255e-7	0.7081605107054376	0.4790176665076388	ns
0	high_fat.y:high_fiber.y	-0.08364786558023982	0.02275511098215192	-3.6760034106557167	2.500602354665007e-4	***
3	purified_diet.y	-0.03066553012398317	0.05341052887221054	-0.5741476591133031	0.5661988695230417	ns
3	seq_depth.y	4.417364985725428e-8	8.268918431231252e-7	0.05342131528400718	0.9574235755132591	ns
3	high_fat.y	-0.004343968430416405	0.014808611712441225	-0.29334069356190134	0.7694177800885692	ns
3	high_fiber.y	0.039905920946055294	0.02349407280832054	1.6985527061073216	0.09020105153136339	+
3	purified_diet.y:seq_depth.y	-8.90079929760461e-7	9.478180403320134e-7	-0.939083127652511	0.3482692950717807	ns
3	high_fat.y:high_fiber.y	-0.02747171948508521	0.04527692017091954	-0.6067488552971354	0.5443706338438206	ns
