day_post_inf.x	term	estimate	std.error	statistic	p.value	signif
-8	purified_diet.x	0.6046498292081222	0.1960876263234047	3.083569527283079	0.002114034648415975	**
-8	seq_depth.x	8.224778844690394e-7	5.288286142961844e-6	0.1555282490838117	0.8764432557167265	ns
-8	high_fat.x	0.14727127255724967	0.034789057993723935	4.233264165526354	2.5642877727171045e-5	****
-8	high_fiber.x	0.014686790957230189	0.03837505715657526	0.3827171096398934	0.7020289500576211	ns
-8	purified_diet.x:seq_depth.x	-1.0755483948878746e-5	5.5319626699700955e-6	-1.9442437685388227	0.052208563871393616	ns
-8	high_fat.x:high_fiber.x	-0.20632502009766482	0.053041928309589585	-3.889847648324708	1.0845375641032228e-4	***
-3	purified_diet.x	0.15126514715701017	0.11288248755534738	1.340023155344122	0.18055688923856264	ns
-3	seq_depth.x	-9.340505420054235e-6	2.8603688253883617e-6	-3.265489868701126	0.0011316612517500613	**
-3	high_fat.x	-0.16923618048451375	0.0366073407864312	-4.623012129502793	4.302095801129734e-6	****
-3	high_fiber.x	-0.8467449253633955	0.0468796915227499	-18.062083982623584	5.948034698348532e-63	****
-3	purified_diet.x:seq_depth.x	1.151336520652317e-5	2.972510603926586e-6	3.8732797761307913	1.1470690185232362e-4	***
-3	high_fat.x:high_fiber.x	0.31626923810515256	0.05597089816148116	5.650601446356764	2.1104370853314835e-8	****
0	purified_diet.x	-0.213740162095731	0.13764638099062565	-1.5528207901832718	0.12079588604305026	ns
0	seq_depth.x	-9.322916187376609e-6	3.174926982750828e-6	-2.9364190855498116	0.00339958762321121	**
0	high_fat.x	-0.10476303936876373	0.04447636665627896	-2.355476565304684	0.018699521673885645	*
0	high_fiber.x	-0.08627707881229547	0.04784542888747024	-1.8032460115513713	0.0716633672921644	ns
0	purified_diet.x:seq_depth.x	1.1557359891582626e-5	3.37011359362401e-6	3.4293680525927206	6.307541844332208e-4	***
0	high_fat.x:high_fiber.x	-0.18939423550966905	0.06770201245204746	-2.797468327013392	0.005253587877621332	**
