group2	Family	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	y.position	groups	xmin	xmax	group1_rel_abund	group2_rel_abund	diff_means	stat_diff_means
new_exp_anschutz	Bacteroidaceae	first_set_anschutz	rel_abund	31	50	-5.9218043060068	3.184284131031883e-9	4.776426196547825e-9	****	0.32072		1	2	0.1060396842446843	0.027304368089546432	0.07873531615513786	0.07873531615513786
new_exp_anschutz	Enterobacteriaceae	first_set_anschutz	rel_abund	31	50	3.2200507831218124	0.0012816789000726846	0.001922518350109027	**	0.0448		1	2	2.675344888698724e-5	0.0016793928914917472	-0.00165263944260476	-0.00165263944260476
new_exp_anschutz	Enterococcaceae	first_set_anschutz	rel_abund	31	50	2.0056378419640257	0.04489490139093965	0.08464344277061475	ns	0.0022400000000000002		1	2	2.4414328021133612e-5	9.686236078496628e-5	-7.244803276383267e-5	0
new_exp_anschutz	Lachnospiraceae	first_set_anschutz	rel_abund	31	50	-1.9774235399945244	0.04799377529976414	0.04799377529976414	*	0.67704		1	2	0.3082596932020598	0.2732345334884986	0.03502515971356124	0.03502515971356124
new_exp_anschutz	Lactobacillaceae	first_set_anschutz	rel_abund	31	50	6.396196136365303	1.592953634086948e-10	2.389430451130422e-10	****	0.7488		1	2	0.01590833013424254	0.35254071618894417	-0.33663238605470164	-0.33663238605470164
new_exp_anschutz	Morganellaceae	first_set_anschutz	rel_abund	31	50	-4.9800087669437225	6.358139291954225e-7	9.537208937931339e-7	****	0.0011200000000000001		1	2	3.3538233530813115e-4	3.4428851121370386e-5	3.0095348418676074e-4	3.0095348418676074e-4
new_exp_anschutz	Staphylococcaceae	first_set_anschutz	rel_abund	31	50	0	1	1	ns	0.56		1	2	2e-6	2e-6	0	0
new_exp_anschutz	Tannerellaceae	first_set_anschutz	rel_abund	31	50	-8.396085973167521	4.616077121619992e-17	1.3848231364859976e-16	****	0.2352		1	2	0.10156021316810904	0.020321086371374242	0.0812391267967348	0.0812391267967348
second_set_arizona	Bacteroidaceae	first_set_anschutz	rel_abund	31	105	-8.398654565843135	4.516232143079095e-17	1.3548696429237285e-16	****	0.3623		1	3	0.1060396842446843	0.013131795627124656	0.09290788861755964	0.09290788861755964
second_set_arizona	Bacteroidaceae	new_exp_anschutz	rel_abund	50	105	-2.1126783309039445	0.034628309199301065	0.034628309199301065	*	0.40388		2	3	0.027304368089546432	0.013131795627124656	0.014172572462421776	0.014172572462421776
second_set_arizona	Enterobacteriaceae	first_set_anschutz	rel_abund	31	105	0.018382186333243542	0.9853339632895257	0.9853339632895257	ns	0.052000000000000005		1	3	2.675344888698724e-5	2.628403040436775e-5	4.694184826194903e-7	0
second_set_arizona	Enterobacteriaceae	new_exp_anschutz	rel_abund	50	105	-4.262168921317145	2.0245231137924857e-5	6.073569341377457e-5	****	0.0592		2	3	0.0016793928914917472	2.628403040436775e-5	0.0016531088610873795	0.0016531088610873795
second_set_arizona	Enterococcaceae	new_exp_anschutz	rel_abund	50	105	-0.3989060858191243	0.6899624047779874	0.6899624047779874	ns	0.0029600000000000004		2	3	9.686236078496628e-5	1.2489991091960945e-4	-2.8037550134643165e-5	0
second_set_arizona	Enterococcaceae	first_set_anschutz	rel_abund	31	105	1.9077080411269285	0.056428961847076506	0.08464344277061475	ns	0.0026000000000000003		1	3	2.4414328021133612e-5	1.2489991091960945e-4	-1.0048558289847584e-4	0
second_set_arizona	Lachnospiraceae	first_set_anschutz	rel_abund	31	105	-6.286596253046966	3.245018548415861e-10	9.735055645247581e-10	****	0.7161		1	3	0.3082596932020598	0.16927334801264113	0.1389863451894187	0.1389863451894187
second_set_arizona	Lachnospiraceae	new_exp_anschutz	rel_abund	50	105	-4.847837970417985	1.2481427672534776e-6	1.8722141508802162e-6	****	0.7551599999999999		2	3	0.2732345334884986	0.16927334801264113	0.10396118547585745	0.10396118547585745
second_set_arizona	Lactobacillaceae	first_set_anschutz	rel_abund	31	105	8.907832941267046	5.203973438858342e-19	1.5611920316575026e-18	****	0.8594999999999999		1	3	0.01590833013424254	0.4051471957258134	-0.3892388655915709	-0.3892388655915709
second_set_arizona	Lactobacillaceae	new_exp_anschutz	rel_abund	50	105	2.087263570596632	0.036864315861371746	0.036864315861371746	*	0.9702		2	3	0.35254071618894417	0.4051471957258134	-0.052606479536869255	-0.052606479536869255
second_set_arizona	Morganellaceae	first_set_anschutz	rel_abund	31	105	-7.937334768266618	2.0657195721616493e-15	6.197158716484948e-15	****	0.0013000000000000002		1	3	3.3538233530813115e-4	1e-6	3.343823353081311e-4	3.343823353081311e-4
second_set_arizona	Morganellaceae	new_exp_anschutz	rel_abund	50	105	-2.8168722209429933	0.004849381461760126	0.004849381461760126	**	0.0014800000000000002		2	3	3.4428851121370386e-5	1e-6	3.342885112137039e-5	3.342885112137039e-5
second_set_arizona	Staphylococcaceae	new_exp_anschutz	rel_abund	50	105	6.52845160328637	6.645307688159065e-11	1.9935923064477194e-10	****	0.74		2	3	2e-6	0.0050983605333864345	-0.005096360533386434	-0.005096360533386434
second_set_arizona	Staphylococcaceae	first_set_anschutz	rel_abund	31	105	5.487852481197927	4.06849605884386e-8	6.10274408826579e-8	****	0.65		1	3	2e-6	0.0050983605333864345	-0.005096360533386434	-0.005096360533386434
second_set_arizona	Tannerellaceae	first_set_anschutz	rel_abund	31	105	-4.285886181064355	1.820121640779775e-5	1.820121640779775e-5	****	0.2595		1	3	0.10156021316810904	0.05294220277010255	0.048618010398006485	0.048618010398006485
second_set_arizona	Tannerellaceae	new_exp_anschutz	rel_abund	50	105	6.071794286441741	1.264889022497866e-9	1.897333533746799e-9	****	0.2838		2	3	0.020321086371374242	0.05294220277010255	-0.032621116398728306	-0.032621116398728306
