day_post_inf	term	estimate	std.error	statistic	p.value	signif
-8	purified_diet	-6.287851950694999	7.7501479550783055	-0.811320246676693	0.41910867320903167	ns
-8	seq_depth	3.3937800289243406e-4	1.909976175045523e-4	1.7768703470049578	0.0786302777924679	+
-8	high_fat	-3.968165941175804	1.7568227796333407	-2.258717263447588	0.02607239398018276	*
-8	high_fiber	-2.9470208897287016	1.9637556569588752	-1.5007065055601354	0.13658235536367225	ns
-8	study	-0.2512302619378759	0.3345670681215933	-0.7509115088594736	0.45446932306083254	ns
-8	purified_diet:seq_depth	-6.357345218832197e-5	2.0336519188307445e-4	-0.3126073424840262	0.7552299668079141	ns
-8	high_fat:high_fiber	4.314404142852762	2.7529598652996916	1.5671874469492455	0.120229946571682	ns
-3	purified_diet	8.469681044570923	4.680477138656669	1.8095764157501648	0.07316887864516029	+
-3	seq_depth	2.970538183067802e-4	1.0840968105886452e-4	2.7401041623347764	0.00719825899487659	**
-3	high_fat	6.203533086282392	1.5292501754885008	4.05658484511911	9.485838607184349e-5	****
-3	high_fiber	-1.6138585378766839	2.020207961257549	-0.7988576269504853	0.4261426366253861	ns
-3	study	0.5230383389600957	0.2782711562948608	1.879599545724658	0.06288312284833104	+
-3	purified_diet:seq_depth	-2.676738953101182e-4	1.1220350873860774e-4	-2.3856107381962395	0.018808740804440546	*
-3	high_fat:high_fiber	-5.9446069223598315	2.3913681867066776	-2.485860168001386	0.014470886434954162	*
0	purified_diet	-4.844672055956161	4.373108377565857	-1.1078326073072957	0.2704182139880069	ns
0	seq_depth	6.982031097736505e-5	9.1771634670244e-5	0.7608049178620937	0.4484469550037381	ns
0	high_fat	0.8994283285321825	1.4754786894765362	0.6095840861322624	0.5434296483659697	ns
0	high_fiber	1.8501351287250372	1.6122961564209584	1.1475156852274855	0.2537278253647563	ns
0	study	-0.23346400908120887	0.2631806709312934	-0.8870864575847122	0.3770219205217662	ns
0	purified_diet:seq_depth	-7.904702502849083e-5	9.707588565909709e-5	-0.8142807504850536	0.41729266760850126	ns
0	high_fat:high_fiber	-2.4146159642415768	2.2666677936035393	-1.065271219300659	0.2891511539265482	ns
3	purified_diet	-14.21564329803231	4.371170900281549	-3.252136240456001	0.001566666663546094	**
3	seq_depth	9.064887530978817e-5	7.643170010738583e-5	1.1860115002338996	0.23845642842420256	ns
3	high_fat	-1.7327045733941526	1.6017910308852237	-1.081729476557613	0.282000645569695	ns
3	high_fiber	-3.3181990341571774	2.136037064214061	-1.5534370118142515	0.12350986267273015	ns
3	study	-1.716936873820701	0.2640466700128749	-6.50239926804221	3.2374863842559433e-9	****
3	purified_diet:seq_depth	4.951756467849084e-6	8.575326107152753e-5	0.057744235099336703	0.9540687486576082	ns
3	high_fat:high_fiber	1.382440745176563	3.4332892827487114	0.40265781043354815	0.6880681300243386	ns
