day_post_inf.x	term	estimate	std.error	statistic	p.value	signif
-3	purified_diet.x	0.628865351795272	0.23112727749262735	2.720861676810657	0.007948788710100227	**
-3	seq_depth.x	7.0013771112493175e-6	5.185234180742965e-6	1.350252827008505	0.18064999718968075	ns
-3	high_fat.x	0.12337567032588263	0.08160484944077828	1.5118668948150928	0.13441221100609604	ns
-3	high_fiber.x	-0.24574700628996732	0.10804068421912978	-2.2745783967041477	0.025542787991978552	*
-3	purified_diet.x:seq_depth.x	-6.0860854644880424e-6	5.401112875703923e-6	-1.1268206394769795	0.26310505115730165	ns
-3	high_fat.x:high_fiber.x	-0.06273574863204898	0.12184438848531892	-0.5148841847534738	0.6080191010601814	ns
0	purified_diet.x	0.15540344936022155	0.22747244975498024	0.6831748175553254	0.49642215723138583	ns
0	seq_depth.x	-2.2346945567044427e-6	4.763721259588121e-6	-0.4691069092690066	0.6402381012670084	ns
0	high_fat.x	0.12541815308009016	0.08735861449791593	1.435670125962016	0.15489999863059092	ns
0	high_fiber.x	-0.12596165485424354	0.08740332793899648	-1.44115399063705	0.15334910196652396	ns
0	purified_diet.x:seq_depth.x	-1.03132873799349e-6	5.196601067973841e-6	-0.19846217258228097	0.8431746992719511	ns
0	high_fat.x:high_fiber.x	-0.3219874697222405	0.12137888622931187	-2.6527469457409105	0.009584201638321221	**
3	purified_diet.x	0.5761142194298933	0.5326163366747441	1.081668322505309	0.2852927330420783	ns
3	seq_depth.x	4.164652116614609e-6	1.0395703890675245e-5	0.4006128070221609	0.6906438846632368	ns
3	high_fat.x	0.09628919447964777	0.10056050489474831	0.9575249704685641	0.3435342916792278	ns
3	high_fiber.x	-0.2603131442590915	0.11807142313864875	-2.2047091272323476	0.0327483014437211	*
3	purified_diet.x:seq_depth.x	-7.168350963570312e-6	1.0602861497832012e-5	-0.6760770160994783	0.5025301163996976	ns
3	high_fat.x:high_fiber.x	-0.031046349578754746	0.17736470629710058	-0.17504243221167992	0.8618493144001987	ns
