day_post_inf.x	term	estimate	std.error	statistic	p.value	signif
-8	purified_diet.x	0.06777227014264413	0.07971672469950787	0.8501637567036484	0.3954828153850063	ns
-8	seq_depth.x	-8.022716476724564e-7	2.1498799210075105e-6	-0.37317044539700767	0.709118272344562	ns
-8	high_fat.x	0.04389793308397487	0.014143012543111655	3.1038601535678714	0.0019758777853628577	**
-8	high_fiber.x	0.07079344263087263	0.015600851129857629	4.537793614053843	6.536643739243248e-6	****
-8	purified_diet.x:seq_depth.x	-2.8644015277851815e-6	2.2489432580648495e-6	-1.2736655393653267	0.20314375823331005	ns
-8	high_fat.x:high_fiber.x	-0.06639638643429686	0.02156346566005577	-3.079114808399734	0.0021455307703368495	**
-3	purified_diet.x	-0.1715447048316285	0.03669786515727152	-4.674514555450583	3.3702746934404645e-6	****
-3	seq_depth.x	-6.894611575890962e-6	9.299000378840666e-7	-7.414357775034883	2.6943649772486044e-13	****
-3	high_fat.x	0.0509270339461044	0.011900971399908691	4.279233369680657	2.0645290426971876e-5	****
-3	high_fiber.x	-0.07806220375267367	0.015240491553420447	-5.122026640614099	3.656987486730647e-7	****
-3	purified_diet.x:seq_depth.x	6.849116675674152e-6	9.663571000592296e-7	7.08756284323296	2.652446432232492e-12	****
-3	high_fat.x:high_fiber.x	-0.0526814942255338	0.018196024183594547	-2.8952200598321474	0.003875346672721136	**
0	purified_diet.x	0.025090004973784753	0.04504548148990679	0.5569927136733259	0.5776623706037076	ns
0	seq_depth.x	-2.248811628164768e-6	1.0390110775454972e-6	-2.16437695108818	0.030681627349121304	*
0	high_fat.x	0.08342825387499392	0.014555118242376208	5.731884309403849	1.3296899563056373e-8	****
0	high_fiber.x	-0.10773175926901762	0.01565766107191712	-6.880450328704616	1.0758561366815433e-11	****
0	purified_diet.x:seq_depth.x	2.1810009802383734e-6	1.1028868932690095e-6	1.9775382167919162	0.048266800144150225	*
0	high_fat.x:high_fiber.x	-0.08704848071172078	0.022155829501582316	-3.9289199578604803	9.144875634165941e-5	****
3	purified_diet.x	-0.009806730214547494	0.0679333358718434	-0.1443581430043115	0.8852922346792567	ns
3	seq_depth.x	3.1316746559455636e-7	1.1767633325770904e-6	0.2661261248757006	0.7902827108400918	ns
3	high_fat.x	-0.020034202486419374	0.016455903051079385	-1.217447770823205	0.2241700160818299	ns
3	high_fiber.x	0.04499089039674721	0.022553229696391498	1.9948757230076775	0.046751918243879476	*
3	purified_diet.x:seq_depth.x	-1.1677459690356745e-6	1.218561757940788e-6	-0.958298552720885	0.33850591886857795	ns
3	high_fat.x:high_fiber.x	-0.01503636246023657	0.04547455160009505	-0.33065444146578765	0.7410830840198148	ns
