Family	term	estimate	std.error	statistic	p.value	signif
Bacteroidaceae	experiment_setnew_exp_anschutz	-0.05375105378222478	0.007828334845865105	-6.866218019610629	1.0055957494810167e-10	****
Bacteroidaceae	experiment_setsecond_set_arizona	-0.04293936387173344	0.010162897792070238	-4.225110273689612	3.771491150066123e-5	****
Bacteroidaceae	vendortaconic	0.0499685247458262	0.008237040948034156	6.066319818132219	7.405769592492911e-9	****
Enterobacteriaceae	experiment_setnew_exp_anschutz	0.0032953543684461767	8.259701797134479e-4	3.9896771692041315	9.578686046692019e-5	****
Enterobacteriaceae	experiment_setsecond_set_arizona	0.003284960433200212	0.0010722906826295846	3.0634980667224347	0.002519944744812121	**
Enterobacteriaceae	vendortaconic	0.0032854298516828326	8.690928947358976e-4	3.780297677708225	2.122013973415033e-4	***
Enterococcaceae	experiment_setnew_exp_anschutz	4.6107860570956724e-5	6.347512937187424e-5	0.726392541885658	0.4685313289025812	ns
Enterococcaceae	experiment_setsecond_set_arizona	4.780523851272393e-5	8.24046575480261e-5	0.5801278706226363	0.562545913475786	ns
Enterococcaceae	vendortaconic	-5.2680344385751874e-5	6.678907457491546e-5	-0.7887569145259198	0.4312803300244267	ns
Lachnospiraceae	experiment_setnew_exp_anschutz	0.007142098874658857	0.031139281227800096	0.22935978587336925	0.8188468362638702	ns
Lachnospiraceae	experiment_setsecond_set_arizona	-0.05465182801297845	0.04042562545773314	-1.3519105120616985	0.17808161268723074	ns
Lachnospiraceae	vendortaconic	0.08433451717644022	0.032765018310531344	2.5739194276394892	0.010851169059122517	*
Lactobacillaceae	experiment_setnew_exp_anschutz	0.28675137652640925	0.026288194211401824	10.90799064479059	1.225484359176119e-21	****
Lactobacillaceae	experiment_setsecond_set_arizona	0.28947684653498595	0.03412784917467913	8.482129801187732	7.487602527410576e-15	****
Lactobacillaceae	vendortaconic	-0.09976201905658491	0.027660663018721696	-3.6066387486468607	4.005229227462349e-4	***
Morganellaceae	experiment_setnew_exp_anschutz	-3.3275214416822013e-4	4.93498347332563e-5	-6.742720537298622	1.992213929229963e-10	****
Morganellaceae	experiment_setsecond_set_arizona	-3.979796552710495e-4	6.406692308448605e-5	-6.211936458166214	3.466464474623688e-9	****
Morganellaceae	vendortaconic	-6.359731996291851e-5	5.1926318620780554e-5	-1.2247608082400685	0.2222481891028135	ns
Staphylococcaceae	experiment_setnew_exp_anschutz	-1.1476045538297081e-18	0.009909505473770246	-1.158084585418854e-16	0.9999999999999999	ns
Staphylococcaceae	experiment_setsecond_set_arizona	0.00509636053338643	0.012864714308060268	0.39615030783803357	0.6924581908022698	ns
Staphylococcaceae	vendortaconic	-2.207942520024059e-18	0.010426866500904484	-2.1175513466414188e-16	0.9999999999999998	ns
Tannerellaceae	experiment_setnew_exp_anschutz	-0.09773757622279926	0.0074522583398002155	-13.115162111438485	4.284914480511228e-28	****
Tannerellaceae	experiment_setsecond_set_arizona	-0.08161490925013538	0.009674667897924216	-8.435939105222058	9.949161315519148e-15	****
Tannerellaceae	vendortaconic	-0.03299689885212893	0.007841330028529183	-4.208074233845025	4.039950980699859e-5	****
