r_squared	p_value	diet	category	just_r	estimate	r_direct	signif	tissue
3.4876480561263556e-5	0.9889271988471782	Chow	cecum_submuc_edema	0.005905631258490794	11.05725542537267	0.005905631258490794	ns	cecum
0.006640257965779833	0.8478854436651908	Chow	cecum_PNM_infil	0.08148777801474177	74.76679957885315	0.08148777801474177	ns	cecum
0.003126862131751586	0.8953714455065258	Chow	cecum_num_gobletCells	0.05591835236978631	54.011724485600915	0.05591835236978631	ns	cecum
3.5384123793113115e-4	0.9647383162393999	Chow	cecum_epithelial_integrity	0.018810668194700876	14.454981677561406	0.018810668194700876	ns	cecum
0.19251265581568436	0.5612373582269289	HF/HF	cecum_submuc_edema	0.43876264177307117	-401.20376878032374	-0.43876264177307117	ns	cecum
0.07515307182019926	0.7258593940690302	HF/HF	cecum_PNM_infil	0.2741406059309698	473.45533519230713	0.2741406059309698	ns	cecum
0.2484705484869468	0.5015317979179146	HF/HF	cecum_num_gobletCells	0.4984682020820855	-363.28992333219156	-0.4984682020820855	ns	cecum
0.00873329200457926	0.9065479159965961	HF/HF	cecum_epithelial_integrity	0.0934520840034039	116.38481188600005	0.0934520840034039	ns	cecum
0.11903902582222065	0.36317307011711925	HF/LF	cecum_submuc_edema	0.3450203266797779	10698.237161101992	0.3450203266797779	ns	cecum
0.23636567424279292	0.18450704150031716	HF/LF	cecum_PNM_infil	0.48617453063976207	12289.919463486232	0.48617453063976207	ns	cecum
0.1865783134470432	0.24563452764831892	HF/LF	cecum_num_gobletCells	0.4319471188085912	6632.278427037793	0.4319471188085912	ns	cecum
0.24254157615020397	0.17802178710864924	HF/LF	cecum_epithelial_integrity	0.4924851024652461	9666.976399133684	0.4924851024652461	ns	cecum
0.21022219874107542	0.3604435170335936	LF/HF	cecum_submuc_edema	0.4584999441014965	12870.375519100002	0.4584999441014965	ns	cecum
0.3628503002197007	0.20572931978602896	LF/HF	cecum_PNM_infil	0.6023705671924059	11766.726168934627	0.6023705671924059	ns	cecum
0.043775775220886146	0.6907396103852861	LF/HF	cecum_num_gobletCells	0.20922661212399857	3357.439078627449	0.20922661212399857	ns	cecum
1.0945081790511003e-4	0.9843077607910159	LF/HF	cecum_epithelial_integrity	0.0104618744928961	183.36555292397205	0.0104618744928961	ns	cecum
0.16871302817925798	0.3120881533883819	LF/LF	cecum_submuc_edema	0.4107469149966412	-8160.906883638745	-0.4107469149966412	ns	cecum
3.266670981560626e-5	0.989283708677792	LF/LF	cecum_PNM_infil	0.005715479841238726	92.47774885416698	0.005715479841238726	ns	cecum
0.03470805568992602	0.6586841805837192	LF/LF	cecum_num_gobletCells	0.1863009814518593	3203.5082629215703	0.1863009814518593	ns	cecum
0.05842346004759307	0.5641372672874816	LF/LF	cecum_epithelial_integrity	0.24170945378200057	-8108.434849029842	-0.24170945378200057	ns	cecum
0.012583143379389195	0.6791592381327956	Chow	colon_inflamm_sev	0.11217461111761964	-812.5302364878123	-0.11217461111761964	ns	colon
0.01051697685697284	0.7054804161176875	Chow	colon_injury_extent	0.10255231278217396	-206.9342643475628	-0.10255231278217396	ns	colon
0	1	Chow	colon_epithelial_regen	0	1	0	ns	colon
0	1	Chow	colon_crypt_damage	0	1	0	ns	colon
0.2010170303235667	0.2652086752723391	HF/HF	colon_inflamm_sev	0.4483492280840536	-5314.702078376602	-0.4483492280840536	ns	colon
0.4248777704619053	0.07988289835165102	HF/HF	colon_injury_extent	0.651826488002678	-4119.890111064449	-0.651826488002678	+	colon
0.012891793004495713	0.7889313142458345	HF/HF	colon_epithelial_regen	0.11354203188465369	447.91263166309005	0.11354203188465369	ns	colon
0	1	HF/HF	colon_crypt_damage	0	1	0	ns	colon
0.02080503912663645	0.5679839135648964	HF/LF	colon_inflamm_sev	0.1442395199889283	1458.6260351876463	0.1442395199889283	ns	colon
0.08731245328421516	0.2338667664547875	HF/LF	colon_injury_extent	0.29548680729300786	662.7654968264115	0.29548680729300786	ns	colon
0	1	HF/LF	colon_epithelial_regen	0	1	0	ns	colon
0	1	HF/LF	colon_crypt_damage	0	1	0	ns	colon
0.06879656002476649	0.41017995383115635	LF/HF	colon_inflamm_sev	0.26229098349879754	-10304.775823679258	-0.26229098349879754	ns	colon
0.3021155712532532	0.06412999546439188	LF/HF	colon_injury_extent	0.549650408217126	-3151.1365861631207	-0.549650408217126	+	colon
0.001907370486462333	0.892795226166156	LF/HF	colon_epithelial_regen	0.043673452880008616	-418.4771975925927	-0.043673452880008616	ns	colon
0	1	LF/HF	colon_crypt_damage	0	1	0	ns	colon
0.11511824019599416	0.19857593356766973	LF/LF	colon_inflamm_sev	0.3392907900253029	2344.6482946410415	0.3392907900253029	ns	colon
0.1581172925335297	0.1271985359300896	LF/LF	colon_injury_extent	0.3976396516112669	1352.938428745304	0.3976396516112669	ns	colon
0.17566133563029007	0.1061128226132511	LF/LF	colon_epithelial_regen	0.41911971515342733	2529.995779616704	0.41911971515342733	ns	colon
0.2008110687904674	0.08172357635593544	LF/LF	colon_crypt_damage	0.44811948048535827	5274.984341281615	0.44811948048535827	+	colon
