tissue	term	estimate	std.error	statistic	p.value	signif
cecum	purified_diet	1.7788257635178286	1.6613964104379408	1.0706811164043226	0.28804379265119656	ns
cecum	seq_depth	1.1942181323694275e-5	2.7330522543903744e-5	0.43695400644134624	0.6635091528120078	ns
cecum	high_fat	-1.267474071296779	0.5620661469803837	-2.255026526870714	0.027307322092401824	*
cecum	high_fiber	0.8339521719859787	0.7263428238073192	1.1481522838135807	0.25487073816214606	ns
cecum	purified_diet:seq_depth	2.0240592520578107e-6	3.0025260310688127e-5	0.06741188023396766	0.9464487717194205	ns
cecum	high_fat:high_fiber	1.6127678173055722	1.0999677898553915	1.4661954942495148	0.1471377619131042	ns
colon	purified_diet	6.881854197845952	2.496603191445539	2.7564869825634335	0.00746862219598489	**
colon	seq_depth	3.6913756830323696e-5	4.1069951384449014e-5	0.8988020580979055	0.3718839856839026	ns
colon	high_fat	-1.7337579525570563	0.8446245143775336	-2.0526966989997812	0.04389653907213067	*
colon	high_fiber	3.436104212904374	1.091485331621074	3.148099304093324	0.00242775961879475	**
colon	purified_diet:seq_depth	-1.981416600217681e-5	4.5119370816437146e-5	-0.4391498738488268	0.6619251383781326	ns
colon	high_fat:high_fiber	1.779705726917682	1.6529366967371606	1.0766932154333309	0.28536749277543316	ns
