term	estimate	std.error	statistic	p.value	diet	signif
(Intercept)	1.6195168599242407	0.6461067932588759	2.5065776692357855	0.033498334411063604	Chow	*
butyrate_c	-0.09288265305597387	0.8902158849949395	-0.10433722271368126	0.9191899152345536	Chow	ns
cdiff_c	0.5913995413546539	0.5846795767448998	1.011493414302525	0.3381996512563547	Chow	ns
butyrate_c:cdiff_c	-0.8827320742024748	0.858289148094574	-1.0284786614885726	0.3305711791465334	Chow	ns
(Intercept)	2.010451005571484	0.4312951688571931	4.661427140254307	0.0011828361952332276	Chow	**
toxin_c	1.37682957800991	0.5160883346736937	2.667817669005124	0.0257142462266677	Chow	*
cdiff_c	0.09602121390457323	0.4700747464591243	0.20426796935564126	0.8426885709577654	Chow	ns
toxin_c:cdiff_c	0.20175366418659002	0.41914149050533317	0.48134977986395	0.6417552267844453	Chow	ns
(Intercept)	2.866666666666665	NA	NA	NA	HF/HF	ns
butyrate_c	-8.848950787957248	NA	NA	NA	HF/HF	ns
cdiff_c	-2.1079273312540003	NA	NA	NA	HF/HF	ns
(Intercept)	2.86666666666667	NA	NA	NA	HF/HF	ns
toxin_c	-7.002232142585274	NA	NA	NA	HF/HF	ns
cdiff_c	0.3706535143259734	NA	NA	NA	HF/HF	ns
(Intercept)	0.8837100981329352	0.275862504316185	3.2034440502289296	0.008403005465110027	HF/LF	**
butyrate_c	3.6098634432922503	1.5803733192580525	2.2841839958339687	0.04321724966340574	HF/LF	*
cdiff_c	0.6297876853074488	0.17039561259002572	3.6960322847204226	0.003525895346315612	HF/LF	**
butyrate_c:cdiff_c	2.844750890771613	0.813696518223331	3.4960834009502655	0.005004673846082585	HF/LF	**
(Intercept)	0.1349526353196045	0.5029226115530496	0.2683367822792142	0.7934056720330285	HF/LF	ns
toxin_c	0.9346431761185938	0.6911015751935154	1.3523962463215111	0.20339617386628614	HF/LF	ns
cdiff_c	0.7718338197392797	0.32173989314194934	2.3989372663798085	0.035298881652576435	HF/LF	*
toxin_c:cdiff_c	0.8394618927111144	0.28715670409760824	2.9233581550851433	0.01385402072750285	HF/LF	*
(Intercept)	3.941182448873988	0.3228379545094696	12.207927828257827	0.052031892823601135	LF/HF	.
butyrate_c	-0.5736507806031429	0.6036786102827539	-0.9502585826826853	0.5162334914621951	LF/HF	ns
cdiff_c	1.3876625839878378	0.9240443045112767	1.5017273275893053	0.3739959990622593	LF/HF	ns
butyrate_c:cdiff_c	-4.405292119774987	1.5249232524961234	-2.8888615296304465	0.2121517748218793	LF/HF	ns
(Intercept)	3.5261889849603505	0.7366649495865952	4.7866930372338095	0.13111209549147365	LF/HF	ns
toxin_c	-1.4862571530646997	24.059471538704347	-0.0617743058351787	0.9607231657236417	LF/HF	ns
cdiff_c	1.1698441245832036	13.058642352896598	0.0895839010648542	0.9431209497112767	LF/HF	ns
toxin_c:cdiff_c	-5.220911352064282	91.0009143811324	-0.057372075737590116	0.9635157970490668	LF/HF	ns
(Intercept)	3.2983934184807273	0.48001016553620973	6.871507429006546	7.295493363488741e-5	LF/LF	****
butyrate_c	0.14902231887786205	1.0157436999287601	0.1467125209718887	0.8865927406432276	LF/LF	ns
cdiff_c	2.8388829632745805	1.8630354390052135	1.523794396949545	0.1618949548164748	LF/LF	ns
butyrate_c:cdiff_c	0.03322119077429354	3.3402567762971542	0.00994569968693273	0.9922815840420001	LF/LF	ns
(Intercept)	3.2794221339244305	0.2652236024789909	12.364744703232823	5.964025205007867e-7	LF/LF	****
toxin_c	3.0716436250870776	0.6998803887992961	4.388812251700239	0.0017485688192228597	LF/LF	**
cdiff_c	1.926633995645405	0.942481936716995	2.0442131786170537	0.07127784019585319	LF/LF	.
toxin_c:cdiff_c	0.8443092338789489	3.5518377381775483	0.23771053074968587	0.8174288637823469	LF/LF	ns
