tissue	term	estimate	std.error	statistic	p.value	signif
cecum	purified_diet	-1.0580265557779842	1.943689497377243	-0.5443392873222055	0.5884082036381735	ns
cecum	seq_depth	-9.922322900847215e-6	3.1884755231301354e-5	-0.31119332197684374	0.7568301179865289	ns
cecum	high_fat	-1.4280273377971493	0.5899271813478442	-2.420684082626002	0.018820238553407163	*
cecum	high_fiber	0.24154525213692268	0.6861062641284477	0.3520522472473774	0.726144455344084	ns
cecum	purified_diet:seq_depth	4.3482637576659465e-5	3.432637760092201e-5	1.2667412239703242	0.21058605624186383	ns
cecum	high_fat:high_fiber	1.673187745236933	1.047897342053555	1.5967095993945382	0.11606079619497305	ns
colon	purified_diet	3.593455644484899	3.182735844598036	1.12904614769836	0.2637789002830816	ns
colon	seq_depth	4.91917804772702e-5	5.221037285422013e-5	0.9421840486491385	0.35021864413290293	ns
colon	high_fat	-1.9498192186359662	0.9659888517749484	-2.0184696904661856	0.04842932821890589	*
colon	high_fiber	2.666067000939555	1.123479343275493	2.3730449668675373	0.021164294452219068	*
colon	purified_diet:seq_depth	-6.599909268938117e-6	5.6208459506049064e-5	-0.11741843357631684	0.9069562241731199	ns
colon	high_fat:high_fiber	1.8654915265892509	1.715901864219183	1.087178448540318	0.2816995585096265	ns
